TimeStamp,XAccel,YAccel,ZAccel
30273,1204,2474,1494
30913,1190,2473,1483
31553,1198,2496,1433
32193,1219,2479,1421
32833,1238,2433,1388
33473,1178,2404,1381
34113,1153,2360,1359
34753,1128,2333,1316
35393,1134,2336,1281
36033,1107,2316,1279
36673,1121,2294,1285
37313,1082,2334,1319
37953,1100,2378,1366
38593,1117,2400,1299
39233,1080,2378,1234
39873,1081,2355,1196
40513,1132,2368,1312
41153,1176,2374,1416
41793,1201,2400,1413
42433,1187,2325,1322
43073,1080,2292,1220
43713,995,2399,1275
44353,878,2498,1396
44993,962,2511,1676
45633,1215,2459,1618
46273,1356,2553,1529
46913,1289,2568,1592
47553,1057,2439,1701
48193,882,2215,1840
48833,980,2257,1824
49473,1059,2376,1733
50113,1035,2482,1619
50753,1062,2490,1561
51393,1112,2448,1621
52033,1094,2321,1711
52673,1049,2327,1747
53313,1040,2319,1771
53953,1074,2365,1749
54593,1089,2453,1712
55233,1104,2428,1695
55873,1087,2357,1744
56513,1082,2400,1796
57153,1067,2411,1764
57793,1061,2405,1751
58433,1092,2416,1739
59073,1071,2420,1759
59713,1072,2394,1789
60353,1073,2399,1773
60993,1050,2372,1797
61633,1072,2392,1810
62273,1060,2383,1810
62913,1071,2420,1806
63553,1031,2459,1799
64193,1019,2458,1812
64833,1028,2468,1777
65473,1005,2471,1755
577,963,2394,1728
1217,1036,2381,1723
1857,1015,2377,1720
2497,981,2358,1728
3137,945,2374,1765
3777,846,2385,1838
4417,846,2452,1837
5057,1023,2555,1707
5697,1186,2576,1700
6337,1271,2678,1769
6977,1307,2659,1773
7617,1099,2536,1723
8257,931,2421,1687
8897,934,2422,1687
9537,956,2504,1633
10177,995,2563,1553
10817,1146,2515,1527
11457,1111,2476,1481
12097,1081,2450,1472
12737,1096,2411,1498
13377,1135,2399,1510
14017,1183,2375,1521
14657,1219,2379,1469
15297,1208,2417,1490
15937,1222,2430,1439
16577,1227,2438,1405
17217,1211,2411,1382
17857,1172,2397,1336
18497,1143,2358,1272
19137,1119,2298,1270
19777,1144,2305,1298
20417,1190,2325,1308
21057,1170,2357,1359
21697,1139,2396,1352
22337,1177,2398,1338
22977,1181,2379,1259
23617,1169,2337,1219
24257,1147,2325,1158
24897,1115,2327,1178
25537,1170,2297,1308
26177,1124,2314,1369
26817,891,2418,1367
27457,700,2525,1313
28097,890,2407,1485
28737,1380,2415,1582
29377,1364,2487,1598
30017,1286,2517,1582
30657,1101,2454,1635
31297,922,2379,1732
31937,944,2380,1747
32577,1012,2372,1749
33217,1066,2331,1710
33857,1099,2407,1693
34497,1077,2440,1714
35137,1034,2439,1707
35777,1034,2431,1703
36417,1086,2429,1724
37057,1093,2399,1717
37697,1103,2371,1749
38337,1125,2350,1743
38977,1081,2361,1734
39617,1032,2385,1736
40257,1074,2353,1724
40897,1082,2371,1790
41537,1039,2395,1798
42177,1071,2391,1793
42817,1065,2416,1790
43457,1039,2447,1819
44097,1050,2427,1798
44737,1087,2431,1793
45377,1108,2440,1800
46017,1063,2432,1782
46657,1025,2419,1783
47297,1033,2381,1760
47937,1034,2374,1794
48577,1036,2415,1772
49217,1007,2429,1738
49857,1032,2446,1717
50497,961,2478,1738
51137,885,2447,1746
51777,824,2382,1781
52417,973,2446,1756
53057,1092,2495,1726
53697,1140,2495,1728
54337,1128,2479,1793
54977,1063,2480,1756
55617,943,2475,1724
56257,890,2473,1786
56897,987,2461,1740
57537,1027,2561,1670
58177,1087,2600,1594
58817,1107,2535,1561
59457,1119,2463,1551
60097,1151,2465,1555
60737,1178,2463,1556
61377,1195,2449,1578
62017,1203,2469,1564
62657,1242,2477,1523
63297,1215,2472,1472
63937,1190,2417,1429
64577,1153,2373,1476
65217,1217,2407,1463
321,1175,2383,1455
961,1130,2387,1392
1601,1142,2359,1315
2241,1156,2362,1261
2881,1135,2356,1279
3521,1100,2350,1351
4161,994,2334,1409
4801,1043,2330,1360
5441,1089,2326,1245
6081,1136,2290,1254
6721,1206,2255,1239
7361,1225,2221,1244
8001,1220,2191,1235
8641,1178,2248,1391
9281,881,2555,1542
9921,576,2788,1649
10561,953,2489,1646
11201,1351,2475,1614
11841,1540,2624,1549
12481,1226,2507,1719
13121,832,2255,1832
13761,887,2199,1838
14401,1038,2237,1782
15041,1023,2313,1661
15681,1072,2415,1613
16321,1135,2445,1637
16961,1112,2431,1684
17601,1107,2380,1753
18241,1079,2373,1796
18881,1034,2393,1802
19521,1035,2388,1788
20161,1039,2398,1775
20801,1070,2405,1802
21441,1074,2454,1829
22081,1078,2445,1814
22721,1023,2478,1842
23361,985,2484,1830
24001,1020,2458,1798
24641,1060,2445,1780
25281,1060,2415,1839
25921,1095,2437,1813
26561,1110,2453,1801
27201,1086,2421,1775
27841,1091,2435,1808
28481,1065,2421,1704
29121,1079,2385,1756
29761,1086,2411,1699
30401,1091,2414,1674
31041,1069,2398,1640
31681,973,2399,1662
32321,791,2423,1831
32961,716,2449,1910
33601,988,2482,1810
34241,1206,2578,1740
34881,1246,2684,1675
35521,1137,2606,1769
36161,1057,2395,1751
36801,871,2384,1711
37441,893,2442,1650
38081,1100,2520,1662
38721,1180,2557,1630
39361,1134,2571,1591
40001,1110,2440,1566
40641,1131,2430,1554
41281,1143,2403,1539
41921,1134,2453,1517
42561,1175,2473,1504
43201,1167,2468,1459
43841,1152,2455,1467
44481,1170,2432,1415
45121,1137,2398,1376
45761,1141,2339,1345
46401,1159,2315,1357
47041,1189,2280,1370
47681,1216,2310,1384
48321,1215,2319,1398
48961,1204,2343,1387
49601,1146,2399,1427
50241,1161,2419,1409
50881,1131,2475,1313
51521,1110,2399,1235
52161,1075,2389,1206
52801,1132,2383,1232
53441,1158,2337,1262
54081,1211,2311,1292
54721,1247,2306,1250
55361,1264,2245,1250
56001,1165,2340,1245
56641,746,2557,1472
57281,468,2783,1678
57921,1035,2362,1710
58561,1432,2437,1613
59201,1532,2619,1554
59841,1164,2451,1708
60481,862,2258,1778
61121,922,2309,1717
61761,1076,2328,1749
62401,1050,2367,1725
63041,1033,2423,1611
63681,1071,2407,1637
64321,1047,2386,1715
64961,1023,2357,1756
65,1042,2333,1797
705,1054,2397,1808
1345,1000,2414,1790
1985,1045,2391,1745
2625,1086,2422,1743
3265,1117,2435,1749
3905,1129,2440,1748
4545,1051,2415,1780
5185,1053,2404,1777
5825,1077,2358,1749
6465,1053,2370,1770
7105,1062,2362,1770
7745,1052,2357,1758
8385,1030,2402,1754
9025,1011,2396,1731
9665,1030,2375,1751
10305,994,2420,1749
10945,1030,2450,1695
11585,996,2407,1700
12225,1048,2405,1697
12865,1054,2428,1707
13505,1071,2433,1650
14145,1077,2410,1587
14785,1012,2397,1622
15425,990,2390,1690
16065,900,2421,1871
